id,cui,name,official_name,definition
0,C0752020,stigmatella aurantiaca,Stigmatella aurantiaca,"A species of STIGMATELLA usually isolated from rotting wood. (From Bergeys Manual of Determinative Bacteriology, 9th ed)"
1,C0752016,stigmatella,Stigmatella,"A genus of the MYXOCOCCALES having vegetative cells which are straight rods with tapered ends and myxospores which are short and somewhat crooked. Fruiting bodies consist of spherical, ovoid, or club-shaped sporangioles on stalks. (From Bergeys Manual of Determinative Bacteriology, 9th ed)"
2,C4721720,archangiaceae,Family Archangiaceae,None
3,C1034453,cystobacterineae,Cystobacterineae,None
4,C0027147,myxococcales,Myxococcales,"An order of rod-shaped, gram-negative fruiting gliding bacteria found in SOIL; WATER; and HUMUS."
5,C0751989,myxococcia,Deltaproteobacteria,"A group of PROTEOBACTERIA represented by morphologically diverse, anaerobic sulfidogens. Some members of this group are considered bacterial predators, having bacteriolytic properties."
6,C5532061,myxococcota,Myxococcota,None
7,C0004611,bacteria,Bacteria,"One of the three domains of life (the others being Eukarya and ARCHAEA), also called Eubacteria. They are unicellular prokaryotic microorganisms which generally possess rigid cell walls, multiply by cell division, and exhibit three principal forms: round or coccal, rodlike or bacillary, and spiral or spirochetal. Bacteria can be classified by their response to OXYGEN: aerobic, anaerobic, or facultatively anaerobic; by the mode by which they obtain their energy: chemotrophy (via chemical reaction) or PHOTOTROPHY (via light reaction); for chemotrophs by their source of chemical energy: CHEMOLITHOTROPHY (from inorganic compounds) or chemoorganotrophy (from organic compounds); and by their source for CARBON; NITROGEN; etc.; HETEROTROPHY (from organic sources) or AUTOTROPHY (from CARBON DIOXIDE). They can also be classified by whether or not they stain (based on the structure of their CELL WALLS) with CRYSTAL VIOLET dye: gram-negative or gram-positive."
8,C2746012,cellular organisms,cellular organisms,None
9,C0040452,root,Tooth root structure,"The part of a tooth from the neck to the apex, embedded in the alveolar process and covered with cementum. A root may be single or divided into several branches, usually identified by their relative position, e.g., lingual root or buccal root. Single-rooted teeth include mandibular first and second premolars and the maxillary second premolar teeth. The maxillary first premolar has two roots in most cases. Maxillary molars have three roots. (Jablonski, Dictionary of Dentistry, 1992, p690)"
10,C1475473,erythrobacter gaetbuli,Erythrobacter gaetbuli,None
11,C4395754,qipengyuania,Qipengyuania,None
12,C1640631,erythrobacteraceae,Family Erythrobacteraceae,None
13,C1223004,sphingomonadales,Sphingomonadales,None
14,C0751986,alphaproteobacteria,Alphaproteobacteria,A class in the phylum PROTEOBACTERIA comprised mostly of two major phenotypes: purple non-sulfur bacteria and aerobic bacteriochlorophyll-containing bacteria.
15,None,pseudomonadota,None,None
16,C1014578,desulfitobacterium hafniense,Desulfitobacterium hafniense,None
17,C1006466,desulfitobacterium,Desulfitobacterium,"A genus of anaerobic, gram-positive bacteria in the family Peptococcaceae, that reductively dechlorinates CHLOROPHENOLS."
18,C5663721,desulfitobacteriaceae,Desulfitobacteriaceae,None
19,C1210563,eubacteriales,Clostridiales,An order of anaerobic bacteria that are predominantly GRAM POSITIVE within the phylum Firmicutes. It includes the Clostridium and Eubacterium genera.
20,C0009054,clostridia,Clostridium,"A genus of motile or nonmotile gram-positive bacteria of the family Clostridiaceae. Many species have been identified with some being pathogenic. They occur in water, soil, and in the intestinal tract of humans and lower animals."
21,C1254144,bacillota,Firmicutes,A taxonomic phylum within kingdom Bacteria consisting of mostly gram-positive bacteria with a low G+C ratio. The phylum is highly diverse in phenotypic characteristics.
22,C4128729,terrabacteria group,Terrabacteria group,None
23,C3557326,ochrobactrum pituitosum,Ochrobactrum pituitosum,None
24,C0006303,brucella,Brucella,"A genus of gram-negative, aerobic bacteria that causes BRUCELLOSIS. Its cells are nonmotile coccobacilli and are animal parasites and pathogens. The bacterium is transmissible to humans through contact with infected dairy products or tissue."
25,C5533787,brucella/ochrobactrum group,Brucella/Ochrobactrum group,None
26,C0006308,brucellaceae,Brucellaceae,"A taxonomic family of rhizobial, symbiotic bacterium in the phylum Proteobacteria that are found in plant roots and perform nitrogen fixation."
27,C0995323,hyphomicrobiales,Rhizobiales,None
28,C0001699,klebsiella pneumoniae,Klebsiella pneumoniae,"Gram-negative, non-motile, capsulated, gas-producing rods found widely in nature and associated with urinary and respiratory infections in humans."
29,C0022727,klebsiella,Klebsiella,"A genus of gram-negative, facultatively anaerobic, rod-shaped bacteria whose organisms arrange singly, in pairs, or short chains. This genus is commonly found in the intestinal tract and is an opportunistic pathogen that can give rise to bacteremia, pneumonia, urinary tract and several other types of human infection."
30,C5644972,klebsiella/raoultella group,Klebsiella/Raoultella group,None
31,C0014346,enterobacteriaceae,Enterobacteriaceae,"A family of gram-negative, facultatively anaerobic, rod-shaped bacteria that do not form endospores. Its organisms are distributed worldwide with some being saprophytes and others being plant and animal parasites. Many species are of considerable economic importance due to their pathogenic effects on agriculture and livestock."
32,C1040967,enterobacterales,Enterobacterales,None
33,C0751988,gammaproteobacteria,Gammaproteobacteria,A group of the proteobacteria comprised of facultatively anaerobic and fermentative gram-negative bacteria.
34,C3557554,streptococcus danieliae,Streptococcus danieliae,None
35,C0038402,streptococcus,Streptococcus,"A genus of gram-positive, coccoid bacteria whose organisms occur in pairs or chains. No endospores are produced. Many species exist as commensals or parasites on man or animals with some being highly pathogenic. A few species are saprophytes and occur in the natural environment."
36,C0038394,streptococcaceae,Streptococcaceae,"A family of gram-positive non-sporing bacteria including many parasitic, pathogenic, and saprophytic forms."
37,C1210581,lactobacillales,Lactobacillales,"An order of gram-positive bacteria in the class Bacilli, that have the ability to ferment sugars to lactic acid. They are widespread in nature and commonly used to produce FERMENTED FOODS."
38,C0004587,bacilli,Genus Bacillus,"A genus of BACILLACEAE that are spore-forming, rod-shaped cells. Most species are saprophytic soil forms with only a few species being pathogenic."
39,C0995486,erythrobacter,Erythrobacter,None
40,C5526280,erythrobacter/porphyrobacter group,Erythrobacter/Porphyrobacter group,None
41,C1006452,microbacterium dextranolyticum,Microbacterium dextranolyticum,None
42,C1004755,microbacterium,Microbacterium,"A genus of minute, nonmotile gram-positive thermotolerant bacteria that are common in dairy products and the mammalian intestinal tract."
43,C1272768,microbacteriaceae,Microbacteriaceae,"A taxonomic family of isoprenoid pigrment producing bacterium in the phylum Actinobacteria that includes the genera Agromyces, Clavibacter, Leifsonia and Microbacterium, among others."
44,C1037105,micrococcales,Micrococcales,"A taxonomic suborder of Gram positive, soil borne bacterium in the phylum Actinobacteria that includes the genera Tropheryma and Ruania, among others."
45,C0600148,actinomycetes,Actinobacteria class,"Class of BACTERIA with diverse morphological properties. Strains of Actinobacteria show greater than 80% 16S rDNA/rRNA sequence similarity among each other and also the presence of certain signature nucleotides. (Stackebrandt E. et al, Int. J. Syst. Bacteriol. (1997) 47:479-491)"
46,C1261283,actinomycetota,Actinomycetoma,A chronic granulomatous inflammation involving the deep dermis and the subcutaneous tissues. It is caused by Actinomycetes bacteria.
47,C0014833,escherichia,Escherichia,"A genus of gram-negative, facultatively anaerobic, rod-shaped bacteria whose organisms occur in the lower part of the intestine of warm-blooded animals. The species are either nonpathogenic or opportunistic pathogens."
48,C0079134,clostridium difficile,Clostridium difficile,A species of Clostridium that is the most significant cause of pseudomembranous colitis.
49,C0038170,staphylococcus,Genus staphylococcus,"A genus of gram-positive, facultatively anaerobic, coccoid bacteria. Its organisms occur singly, in pairs, and in tetrads and characteristically divide in more than one plane to form irregular clusters. Natural populations of Staphylococcus are found on the skin and mucous membranes of warm-blooded animals. Some species are opportunistic pathogens of humans and animals."
