id,id_orig,id_target,name_orig,name_target
0,1,0,stigmatella,stigmatella aurantiaca
1,2,1,archangiaceae,stigmatella
2,0,1,stigmatella aurantiaca,stigmatella
3,3,2,cystobacterineae,archangiaceae
4,1,2,stigmatella,archangiaceae
5,2724,3,myxococcaceae,cystobacterineae
6,4,3,myxococcales,cystobacterineae
7,2,3,archangiaceae,cystobacterineae
8,5,4,myxococcia,myxococcales
9,3,4,cystobacterineae,myxococcales
10,6,5,myxococcota,myxococcia
11,4,5,myxococcales,myxococcia
12,1821,6,polyangia,myxococcota
13,7,6,bacteria,myxococcota
14,5,6,myxococcia,myxococcota
15,8,7,cellular organisms,bacteria
16,6,7,myxococcota,bacteria
17,3030,7,thermotogota,bacteria
18,15,7,pseudomonadota,bacteria
19,22,7,terrabacteria group,bacteria
20,57,7,thermodesulfobacteriota,bacteria
21,76,7,fusobacteriota,bacteria
22,81,7,pvc group,bacteria
23,131,7,spirochaetota,bacteria
24,436,7,synergistetes,bacteria
25,477,7,deferribacterota,bacteria
26,687,7,delta/epsilon subdivisions,bacteria
27,704,7,nitrospirota,bacteria
28,981,7,elusimicrobiota,bacteria
29,1661,7,bacteria incertae sedis,bacteria
30,630,8,eukaryota,cellular organisms
31,417,8,archaea,cellular organisms
32,9,8,root,cellular organisms
33,7,8,bacteria,cellular organisms
34,8,9,cellular organisms,root
35,11,10,qipengyuania,erythrobacter gaetbuli
36,12,11,erythrobacteraceae,qipengyuania
37,10,11,erythrobacter gaetbuli,qipengyuania
38,40,12,erythrobacter/porphyrobacter group,erythrobacteraceae
39,13,12,sphingomonadales,erythrobacteraceae
40,11,12,qipengyuania,erythrobacteraceae
41,1784,13,zymomonadaceae,sphingomonadales
42,589,13,sphingomonadaceae,sphingomonadales
43,14,13,alphaproteobacteria,sphingomonadales
44,12,13,erythrobacteraceae,sphingomonadales
45,15,14,pseudomonadota,alphaproteobacteria
46,13,14,sphingomonadales,alphaproteobacteria
47,3274,14,magnetococcales,alphaproteobacteria
48,3050,14,emcibacterales,alphaproteobacteria
49,3003,14,holosporales,alphaproteobacteria
50,27,14,hyphomicrobiales,alphaproteobacteria
51,188,14,caulobacterales,alphaproteobacteria
52,220,14,rhodospirillales,alphaproteobacteria
53,717,14,rickettsiales,alphaproteobacteria
54,1095,14,rhodobacterales,alphaproteobacteria
55,711,15,acidithiobacillia,pseudomonadota
56,119,15,betaproteobacteria,pseudomonadota
57,33,15,gammaproteobacteria,pseudomonadota
58,7,15,bacteria,pseudomonadota
59,14,15,alphaproteobacteria,pseudomonadota
60,17,16,desulfitobacterium,desulfitobacterium hafniense
61,18,17,desulfitobacteriaceae,desulfitobacterium
62,16,17,desulfitobacterium hafniense,desulfitobacterium
63,19,18,eubacteriales,desulfitobacteriaceae
64,17,18,desulfitobacterium,desulfitobacteriaceae
65,20,19,clostridia,eubacteriales
66,18,19,desulfitobacteriaceae,eubacteriales
67,3032,19,gracilibacteraceae,eubacteriales
68,2671,19,desulfotomaculaceae,eubacteriales
69,1941,19,syntrophomonadaceae,eubacteriales
70,1892,19,unclassified eubacteriales,eubacteriales
71,59,19,ruminococcaceae,eubacteriales
72,71,19,clostridiaceae,eubacteriales
73,361,19,peptococcaceae,eubacteriales
74,376,19,eubacteriaceae,eubacteriales
75,759,19,eubacteriales incertae sedis,eubacteriales
76,21,20,bacillota,clostridia
77,19,20,eubacteriales,clostridia
78,2063,20,thermoanaerobacterales,clostridia
79,1563,20,halanaerobiales,clostridia
80,22,21,terrabacteria group,bacillota
81,20,21,clostridia,bacillota
82,38,21,bacilli,bacillota
