id,cui_orig,cui_target,name_orig,name_target
0,C0752016,C0752020,stigmatella,stigmatella aurantiaca
1,C4721720,C0752016,archangiaceae,stigmatella
2,C0752020,C0752016,stigmatella aurantiaca,stigmatella
3,C1034453,C4721720,cystobacterineae,archangiaceae
4,C0752016,C4721720,stigmatella,archangiaceae
5,C0085453,C1034453,myxococcaceae,cystobacterineae
6,C0027147,C1034453,myxococcales,cystobacterineae
7,C4721720,C1034453,archangiaceae,cystobacterineae
8,C0751989,C0027147,myxococcia,myxococcales
9,C1034453,C0027147,cystobacterineae,myxococcales
10,C5532061,C0751989,myxococcota,myxococcia
11,C0027147,C0751989,myxococcales,myxococcia
12,C0264939,C5532061,polyangia,myxococcota
13,C0004611,C5532061,bacteria,myxococcota
14,C0751989,C5532061,myxococcia,myxococcota
15,C2746012,C0004611,cellular organisms,bacteria
16,C5532061,C0004611,myxococcota,bacteria
17,C1220812,C0004611,thermotogota,bacteria
18,None,C0004611,pseudomonadota,bacteria
19,C4128729,C0004611,terrabacteria group,bacteria
20,C1220832,C0004611,thermodesulfobacteriota,bacteria
21,C1003893,C0004611,fusobacteriota,bacteria
22,C4128736,C0004611,pvc group,bacteria
23,C0699955,C0004611,spirochaetota,bacteria
24,C2309303,C0004611,synergistetes,bacteria
25,C1220823,C0004611,deferribacterota,bacteria
26,C1027010,C0004611,delta/epsilon subdivisions,bacteria
27,C1008655,C0004611,nitrospirota,bacteria
28,C1030416,C0004611,elusimicrobiota,bacteria
29,C0318309,C0004611,bacteria incertae sedis,bacteria
30,C0684063,C2746012,eukaryota,cellular organisms
31,C0003732,C2746012,archaea,cellular organisms
32,C0040452,C2746012,root,cellular organisms
33,C0004611,C2746012,bacteria,cellular organisms
34,C2746012,C0040452,cellular organisms,root
35,C4395754,C1475473,qipengyuania,erythrobacter gaetbuli
36,C1640631,C4395754,erythrobacteraceae,qipengyuania
37,C1475473,C4395754,erythrobacter gaetbuli,qipengyuania
38,C5526280,C1640631,erythrobacter/porphyrobacter group,erythrobacteraceae
39,C1223004,C1640631,sphingomonadales,erythrobacteraceae
40,C4395754,C1640631,qipengyuania,erythrobacteraceae
41,C5615108,C1223004,zymomonadaceae,sphingomonadales
42,C1009415,C1223004,sphingomonadaceae,sphingomonadales
43,C0751986,C1223004,alphaproteobacteria,sphingomonadales
44,C1640631,C1223004,erythrobacteraceae,sphingomonadales
45,None,C0751986,pseudomonadota,alphaproteobacteria
46,C1223004,C0751986,sphingomonadales,alphaproteobacteria
47,C3570182,C0751986,magnetococcales,alphaproteobacteria
48,C4626465,C0751986,emcibacterales,alphaproteobacteria
49,C4438757,C0751986,holosporales,alphaproteobacteria
50,C0995323,C0751986,hyphomicrobiales,alphaproteobacteria
51,C1032215,C0751986,caulobacterales,alphaproteobacteria
52,C0035501,C0751986,rhodospirillales,alphaproteobacteria
53,C0035596,C0751986,rickettsiales,alphaproteobacteria
54,C1223003,C0751986,rhodobacterales,alphaproteobacteria
55,C4088699,None,acidithiobacillia,pseudomonadota
56,C0751987,None,betaproteobacteria,pseudomonadota
57,C0751988,None,gammaproteobacteria,pseudomonadota
58,C0004611,None,bacteria,pseudomonadota
59,C0751986,None,alphaproteobacteria,pseudomonadota
60,C1006466,C1014578,desulfitobacterium,desulfitobacterium hafniense
61,C5663721,C1006466,desulfitobacteriaceae,desulfitobacterium
62,C1014578,C1006466,desulfitobacterium hafniense,desulfitobacterium
63,C1210563,C5663721,eubacteriales,desulfitobacteriaceae
64,C1006466,C5663721,desulfitobacterium,desulfitobacteriaceae
65,C0009054,C1210563,clostridia,eubacteriales
66,C5663721,C1210563,desulfitobacteriaceae,eubacteriales
67,C2643730,C1210563,gracilibacteraceae,eubacteriales
68,C5663722,C1210563,desulfotomaculaceae,eubacteriales
69,C1026887,C1210563,syntrophomonadaceae,eubacteriales
70,C1210571,C1210563,unclassified eubacteriales,eubacteriales
71,C1228943,C1210563,ruminococcaceae,eubacteriales
72,C1003853,C1210563,clostridiaceae,eubacteriales
73,C0030964,C1210563,peptococcaceae,eubacteriales
74,C1210566,C1210563,eubacteriaceae,eubacteriales
75,C2642914,C1210563,eubacteriales incertae sedis,eubacteriales
76,C1254144,C0009054,bacillota,clostridia
77,C1210563,C0009054,eubacteriales,clostridia
78,C1026885,C0009054,thermoanaerobacterales,clostridia
79,C1017383,C0009054,halanaerobiales,clostridia
80,C4128729,C1254144,terrabacteria group,bacillota
81,C0009054,C1254144,clostridia,bacillota
82,C0004587,C1254144,bacilli,bacillota
83,C3557255,C1254144,erysipelotrichia,bacillota
84,C3084169,C1254144,negativicutes,bacillota
85,C4147888,C1254144,tissierellia,bacillota
86,C0995600,C4128729,deinococcota,terrabacteria group
87,C0026934,C4128729,mycoplasmatota,terrabacteria group
88,C1261283,C4128729,actinomycetota,terrabacteria group
89,C0004611,C4128729,bacteria,terrabacteria group
90,C1254144,C4128729,bacillota,terrabacteria group
91,C0006303,C3557326,brucella,ochrobactrum pituitosum
92,C5533787,C0006303,brucella/ochrobactrum group,brucella
93,C3557326,C0006303,ochrobactrum pituitosum,brucella
94,C0315033,C0006303,brucella ovis,brucella
95,C1188652,C0006303,brucella ceti,brucella
96,C1888544,C0006303,ochrobactrum cytisi,brucella
97,C1913095,C0006303,brucella microti,brucella
98,C1042950,C0006303,ochrobactrum intermedium,brucella
99,C0006305,C0006303,brucella melitensis,brucella
100,C0006304,C0006303,brucella abortus,brucella
101,C0445819,C0006303,ochrobactrum anthropi,brucella
102,C0445818,C5533787,ochrobactrum,brucella/ochrobactrum group
103,C0006308,C5533787,brucellaceae,brucella/ochrobactrum group
104,C0006303,C5533787,brucella,brucella/ochrobactrum group
105,C1638636,C0006308,pseudochrobactrum,brucellaceae
106,C0995323,C0006308,hyphomicrobiales,brucellaceae
107,C5533787,C0006308,brucella/ochrobactrum group,brucellaceae
108,C0751986,C0995323,alphaproteobacteria,hyphomicrobiales
109,C0006308,C0995323,brucellaceae,hyphomicrobiales
110,C1003860,C0995323,methylocystaceae,hyphomicrobiales
111,C1057045,C0995323,methylobacteriaceae,hyphomicrobiales
112,C0028143,C0995323,nitrobacteraceae,hyphomicrobiales
113,C5478306,C0995323,stappiaceae,hyphomicrobiales
114,C0004772,C0995323,bartonellaceae,hyphomicrobiales
115,C1640092,C0995323,xanthobacteraceae,hyphomicrobiales
116,C0035474,C0995323,rhizobiaceae,hyphomicrobiales
117,C1011952,C0995323,hyphomicrobiaceae,hyphomicrobiales
118,C1027341,C0995323,phyllobacteriaceae,hyphomicrobiales
119,C1494877,C0995323,aurantimonadaceae,hyphomicrobiales
120,C1011953,C0995323,beijerinckiaceae,hyphomicrobiales
121,C5479132,C0995323,devosiaceae,hyphomicrobiales
