id,id_microbe,id_disease,neg_relations,pos_relations,strength_raw,strength_IF
0,0,26,1,0,-1,-0.461
1,0,0,1,0,-1,-0.461
2,1,1851,1,0,-1,-0.699
3,1,6236,1,0,-1,-0.699
4,4,18624,0,1,1,0.692
5,4,5614,0,1,1,0.956
6,4,0,1,0,-1,-0.783
7,4,2937,1,0,-1,-0.885
8,4,6099,1,0,-1,-0.885
9,4,17,1,0,-1,-1.248
10,4,5865,1,0,-1,-0.783
11,4,512,0,1,1,0.855
12,4,10663,0,1,1,0.677
13,5,2650,0,2,2,1.77
14,5,1261,0,1,1,0.558
15,5,11119,1,0,-1,-0.783
16,5,2558,0,1,1,0.656
17,5,0,2,1,-1,-0.689
18,5,322,1,0,-1,-0.957
19,5,696,0,1,1,0.635
20,5,20575,0,1,1,1.226
21,5,321,0,1,1,0.902
22,5,12069,1,0,-1,-1.248
23,5,425,0,1,1,0.699
24,5,436,0,1,1,0.789
25,5,30264,1,0,-1,-0.793
26,5,9027,1,0,-1,-0.793
27,5,10663,0,1,1,1.248
28,5,1588,1,0,-1,-0.819
29,5,1311,1,0,-1,-0.783
30,5,1754,1,0,-1,-0.783
31,5,2942,0,1,1,0.885
32,5,1104,0,2,2,2.126
33,5,1105,0,1,1,1.106
34,5,1117,0,2,2,2.126
35,5,1411,1,0,-1,-0.783
36,5,2979,2,0,-2,-1.726
37,5,13822,1,0,-1,-0.782
38,5,13847,1,0,-1,-0.782
39,5,1412,0,1,1,0.944
40,5,2937,0,4,4,3.5
41,5,411,0,3,3,2.922
42,5,973,1,0,-1,-0.891
43,5,1116,1,2,1,0.736
44,5,4167,1,1,0,-0.124
45,5,1698,0,1,1,1.047
46,5,512,0,1,1,0.818
47,5,17,2,1,-1,-0.395
48,5,6280,0,1,1,0.975
49,5,363,1,5,4,3.553
50,5,20,4,3,-1,2.247
51,5,1706,0,1,1,3.5
52,5,577,0,2,2,4.199
53,5,4047,1,0,-1,-0.783
54,5,8911,1,0,-1,-0.783
55,5,1213,0,1,1,3.5
56,5,5101,0,1,1,3.5
57,5,5800,0,1,1,0.612
58,7,7941,0,1,1,0.704
59,7,10954,0,1,1,3.5
60,7,23630,0,1,1,3.5
61,7,1391,0,1,1,0.826
62,7,1106,0,1,1,0.783
63,7,2979,0,1,1,0.423
64,7,19009,0,1,1,0.423
