id,cui_microbe,cui_disease,neg_relations,pos_relations,strength_raw,strength_IF
0,C0752020,C0003864,1,0,-1,-0.461
1,C0752020,C0011991,1,0,-1,-0.461
2,C0752016,C0006142,1,0,-1,-0.699
3,C0752016,C0279000,1,0,-1,-0.699
4,C0027147,C4069284,0,1,1,0.692
5,C0027147,C0032584,0,1,1,0.956
6,C0027147,C0011991,1,0,-1,-0.783
7,C0027147,C0031099,1,0,-1,-0.885
8,C0027147,C0011849,1,0,-1,-0.885
9,C0027147,C0009450,1,0,-1,-1.248
10,C0027147,C0026946,1,0,-1,-0.783
11,C0027147,C0027651,0,1,1,0.855
12,C0027147,C0008350,0,1,1,0.677
13,C0751989,C0036341,0,2,2,1.77
14,C0751989,C0241863,0,1,1,0.558
15,C0751989,C0003615,1,0,-1,-0.783
16,C0751989,C1269683,0,1,1,0.656
17,C0751989,C0011991,2,1,-1,-0.689
18,C0751989,C0338656,1,0,-1,-0.957
19,C0751989,C0362046,0,1,1,0.635
20,C0751989,C0009566,0,1,1,1.226
21,C0751989,C0011570,0,1,1,0.902
22,C0751989,C0032080,1,0,-1,-1.248
23,C0751989,C3889047,0,1,1,0.699
24,C0751989,C0025517,0,1,1,0.789
25,C0751989,C0039263,1,0,-1,-0.793
26,C0751989,C0001925,1,0,-1,-0.793
27,C0751989,C0008350,0,1,1,1.248
28,C0751989,C0015695,1,0,-1,-0.819
29,C0751989,C0178238,1,0,-1,-0.783
30,C0751989,C0036690,1,0,-1,-0.783
31,C0751989,C0001342,0,1,1,0.885
32,C0751989,C0524620,0,2,2,2.126
33,C0751989,C0011847,0,1,1,1.106
34,C0751989,C0028754,0,2,2,2.126
35,C0751989,C0005586,1,0,-1,-0.783
36,C0751989,C0023890,2,0,-2,-1.726
37,C0751989,C0020676,1,0,-1,-0.782
38,C0751989,C0020550,1,0,-1,-0.782
39,C0751989,C0525045,0,1,1,0.944
40,C0751989,C0031099,0,4,4,3.5
41,C0751989,C0009324,0,3,3,2.922
42,C0751989,C0042769,1,0,-1,-0.891
43,C0751989,C3658208,1,2,1,0.736
44,C0751989,C0010346,1,1,0,-0.124
45,C0751989,C0009402,0,1,1,1.047
46,C0751989,C0027651,0,1,1,0.818
47,C0751989,C0009450,2,1,-1,-0.395
48,C0751989,C0020877,0,1,1,0.975
49,C0751989,C0009319,1,5,4,3.553
50,C0751989,C0021368,4,3,-1,2.247
51,C0751989,C0003850,0,1,1,3.5
52,C0751989,C0006826,0,2,2,4.199
53,C0751989,C0042384,1,0,-1,-0.783
54,C0751989,C0160420,1,0,-1,-0.783
55,C0751989,C0021390,0,1,1,3.5
56,C0751989,C0596263,0,1,1,3.5
57,C0751989,C0001430,0,1,1,0.612
58,C0004611,C3275700,0,1,1,0.704
59,C0004611,C0023885,0,1,1,3.5
60,C0004611,C0034103,0,1,1,3.5
61,C0004611,C0009806,0,1,1,0.826
62,C0004611,C0004352,0,1,1,0.783
63,C0004611,C0023890,0,1,1,0.423
64,C0004611,C0019159,0,1,1,0.423
65,C0004611,C0013371,0,1,1,0.699
66,C0004611,C0343386,1,0,-1,-0.975
67,C0004611,C0035235,1,0,-1,-3.5
68,C0004611,C0018520,0,1,1,3.5
69,C0004611,C3658208,0,2,2,1.525
70,C0004611,C0022876,0,1,1,0.89
71,C0004611,C0241863,1,2,1,3.708
72,C0004611,C0009376,1,0,-1,-0.726
73,C0004611,C0949059,1,0,-1,-0.726
74,C0004611,C0027051,1,0,-1,-0.495
75,C0004611,C0007222,1,1,0,0.298
76,C0004611,C0161816,1,0,-1,-0.793
77,C0004611,C0008312,1,0,-1,-0.677
78,C0004611,C0018801,0,1,1,0.724
79,C0004611,C0037284,0,1,1,0.788
80,C0004611,C0406682,0,1,1,0.788
81,C0004611,C0362046,1,1,0,-0.031
82,C0004611,C0009324,1,1,0,0.068
83,C0004611,C0026946,1,0,-1,-1.115
84,C0004611,C0851162,1,1,0,0.0
85,C0004611,C0011847,6,1,-5,-3.271
86,C0004611,C0043094,1,0,-1,-0.668
87,C0004611,C0021831,1,0,-1,-1.226
88,C0004611,C1302401,0,1,1,0.818
89,C0004611,C0009450,2,4,2,4.658
90,C0004611,C0027651,0,2,2,2.543
91,C0004611,C0021368,1,2,1,0.368
92,C0004611,C0020443,0,1,1,0.826
93,C0004611,C0006142,1,0,-1,-0.783
