,MICROBE,DISEASE,EVIDENCE,RELATION,QUESTIONS,Unnamed: 0
896,Clostridium,colitis,"Mouse microbiota with higher level of genera Clostridium XI, Bifidobacterium, and Lactobacillus is associated with resistance to C. jejuni induced colitis.",negative,What is the relationship between Clostridium and colitis?,
585,Parvimonas micra,tumors from the left colon,"For instance, Fusobacterium and Bacteroides fragilis were abundant in tumors from the right colon, whereas Parvimonas micra was associated with tumors from the left colon.",positive,What is the relationship between Parvimonas micra and tumors from the left colon?,
71,Fusobacterium,colorectal carcinoma,"Recently, Kostic et al.reported the association of Fusobacterium with colorectal carcinoma.",relate,What is the relationship between Fusobacterium and colorectal carcinoma?,
49,Group B streptococcus,sepsis,"Streptococcus agalactiae, or Group B streptococcus (GBS) is an important pathogen causing sepsis and meningitis in newborns and mastitis in bovine (Edwards and Baker, 2005; Tazi et al., 2011; Edmond et al., 2012; Lamagni et al., 2013).",positive,What is the relationship between Group B streptococcus and sepsis?,
179,Lactobacillus fermentum,inflammatory bowel disease.,"For example, Lactobacillus fermentum reduces the levels of proinflammatory cytokines, such as IL-2, IFN-?, IL-4, IL-13, and IL-17A, while increasing levels of anti-inflammatory cytokines, such as IL-10, to relieve symptoms of inflammatory bowel disease.",negative,What is the relationship between Lactobacillus fermentum and inflammatory bowel disease.?,
535,Akkermansia muciniphila,colitis,"Interestingly, the bacterium Akkermansia muciniphila has been described as a protective ally against the development of metabolic diseases and colitis (22).",negative,What is the relationship between Akkermansia muciniphila and colitis?,
949,Akkermansia muciniphila,MS,"For instance, Akkermansia muciniphila, which was increased in MS patients, boosted Th1 cell differentiation.",positive,What is the relationship between Akkermansia muciniphila and MS?,
116,Psae,chronic obstructive lung disease,"Furthermore, patients suffering from chronic respiratory morbidities including chronic obstructive lung disease, bronchiectasis, or cystic fibrosis are prone to chronic Psae infection, further exacerbating the underlying disease (3).",positive,What is the relationship between Psae and chronic obstructive lung disease?,
293,Fusobacterium nucleatum,colorectal neoplasia,"Finally, although no strong evidence has yet been found to indict a specific microbe in colonic carcinogenesis, a recent study found that Fusobacterium nucleatum was enriched in human colon cancer tissue, and suggested that the microbe might promote colorectal neoplasia progression through recruitment of proinflammatory tumor-infiltrating immune cells.",positive,What is the relationship between Fusobacterium nucleatum and colorectal neoplasia?,
76,Porphyromonas gingivalis,pancreatic cancer,"Another prospective cohort study analyzed 361 patients with incident pancreatic cancer and 371 matched controls and revealed that Porphyromonas gingivalis and Aggregatibacter actinomycetemcomitans were associated with a higher risk of pancreatic cancer (odds ratio: 2.20, 95% confidence interval: 1.16 to 4.18).",positive,What is the relationship between Porphyromonas gingivalis and pancreatic cancer?,
48,Porphyromonas gingivalis,COPD,"In a previous study, some specific bacteria including Klebsiella pneumonia, Pseudomonas aeruginosa, Streptococcus pneumoniae, Porphyromonas gingivalis, Treponema denticola, and Tannerella forsythia were more abundant in both tracheal aspirate and periodontal pockets in severe acute exacerbations of COPD patients, suggesting particular bacteria were related to acute exacerbations of COPD.",positive,What is the relationship between Porphyromonas gingivalis and COPD?,
493,Ruminococcus,intestinal inflammation,"During parasite infection, susceptible ponies presented a decrease in known butyrate producing bacteria, such as Ruminococcus, Clostridium XIVa and members of the Lachnospiraceae family, which may have led to a disruption of mucosal homeostasis, intestinal inflammation and dysbiosis.",positive,What is the relationship between Ruminococcus and intestinal inflammation?,
263,Faecalibacterium prausnitzii,Crohn?s disease,"(21) identified Faecalibacterium prausnitzii, which is greatly reduced in Crohn?s disease patients, as an anti-inflammatory commensal bacterium in the gut by showing that the supernatant of F. prausnitzii inhibits NF-?B activation in a human IEC line and suppresses the production of pro-inflammatory cytokines both in vitro and in a mouse colitis model.",negative,What is the relationship between Faecalibacterium prausnitzii and Crohn?s disease?,
996,ETEC,diarrhoea,"High-dose administration of the probiotic increased the incidence of diarrhoea before ETEC F4 challenge despite the fact that both doses ameliorated ETEC F4-induced diarrhoea, with increased Lactobacillus and Bifidobacterium counts accompanied by reduced coliform shedding in faeces.",na,What is the relationship between ETEC and diarrhoea?,
808,Streptococcus,aerobic vaginitis (AV),"Among the 25 increased genera, many anaerobic bacteria, such as Gardnerella, Prevotella, and Atopobium, are the main pathogens for bacterial vaginosis (BV), while the abundance of many aerobic bacteria, such as Escherichia, Enterococcus, Streptococcus, and Corynebacterium, are closely related to the risk of aerobic vaginitis (AV) and urinary tract infection (UTI).",positive,What is the relationship between Streptococcus and aerobic vaginitis (AV)?,
857,Fusobacterium,tumor,"(21) found that CD11b+ myeloid derived suppressive cells (MDSCs), including granulocytes/tumor associated neutrophils (TANs) and macrophages/tumor associated macrophages (TAMs), are more abundant in tumor tissues than normal tissue of Fusobacterium-fed APC Min mice.",na,What is the relationship between Fusobacterium and tumor?,
914,Bacillus cereus,gastric cancer,"In the present study, the probiotic combination of Bifidobacterium infantis, Lactobacillus acidophilus, Enterococcus faecalis and Bacillus cereus was supplied to gastric cancer patients with partial gastrectomy, and their effect on reducing the severity of physiological disorders and microbial diversity in the stomach and faeces were investigated.",na,What is the relationship between Bacillus cereus and gastric cancer?,
332,Mycoplasma,HPV-positive cancers,"In contrast, Streptococcus anginosus, Peptoniphilus, and Mycoplasma were significantly decreased in HPV-positive cancers.",negative,What is the relationship between Mycoplasma and HPV-positive cancers?,
64,S. salivarius probiotic strain K12,candidiasis,"The S. salivarius probiotic strain K12 inhibits adherence and filamentation of C. albicans, and in a murine model of infection candidiasis protected mice from severe candidiasis [82].",negative,What is the relationship between S. salivarius probiotic strain K12 and candidiasis?,
929,Helicobacter pylori,gastroduodenal infections,"In fact, ureolytic activity has a key role in the pathogenesis of bacteria such as Clostridium perfringens, Helicobacter pylori, Klebsiella pneumoniae, Proteus mirabilis, Salmonella spp., Staphylococcus saprophyticus, Ureoplasma urealyticum, and Yersinia enterocolitica, and such activity has been reported in diseases such as urolithiasis, pyelonephritis, ammonia encephalopathy, HE, hepatic coma, and gastroduodenal infections [4], [28].",relate,What is the relationship between Helicobacter pylori and gastroduodenal infections?,
52,Clostridium difficile,FMT,"For example, FMT is highly effective for recurrent Clostridium difficile infection [127], to the point that it has been approved by the United States Federal Drug Administration (FDA) [128].",negative,What is the relationship between Clostridium difficile and FMT?,
363,Blautia hydrogenotrophic,obesity,"Coprococcus catus, Blautia hydrogenotrophic, Ruminococcus bromii, Ruminococcus obeum, and Eubacterium ventriosum were significantly correlated with obesity in Japanese people [60,61,62], whereas the presence of Bacteroides thetaiotaomicron, Bacteroides faecichinchillae, Flavonifractor plautii, Blautiawexlerae, and Clostridium bolteae was associated with lean people [63].",positive,What is the relationship between Blautia hydrogenotrophic and obesity?,
549,Porphyromonas gingivalis,insulin resistance,"In a rodent study, oral administration of Porphyromonas gingivalis, a periodontal pathogen, induced systemic inflammation and insulin resistance [8].",positive,What is the relationship between Porphyromonas gingivalis and insulin resistance?,
409,Porphyromonas gingivalis,chronic periodontitis,"The results of our study confirmed this association, and showed that this Gram-negative rod was isolated from 68% of patients with chronic periodontitis, but its participation in the microbiota was very reduced, always smaller than others pathogens like Prevotella intermedia, Porphyromonas gingivalis and particularly Fusobacterium nucleatum (unpublished data).",relate,What is the relationship between Porphyromonas gingivalis and chronic periodontitis?,
124,Pg,arthritis,"Oral infection by Pg worsens paw swelling, bone loss and synovitis, and increases proinflammatory cytokine expression in collagen-induced arthritis (CIA) and collagen antibody-induced arthritis mouse model.",positive,What is the relationship between Pg and arthritis?,
