,experiment_id,methodological_detail_id,qualitative_outcome,disease_id,meddra_level,meddra_id,location_id,disease_name,organism_id,organism_name,organism_ncbi_id,subject_value,control_value,ratio,method_name,sample_name,host_type,host_id,publication_id,control_name,response_name,response_unit
0,1,,Elevated,1,preferred_term,10080683.0,10.0,Autism,1,Lactobacillus,1591.0,,,,qPCR,Faeces,Human,1.0,1,Healthy control,,
1,2,,Elevated,1,preferred_term,10080683.0,10.0,Autism,2,Desulfovibrio,885.0,,,,qPCR,Faeces,Human,1.0,1,Healthy control,,
2,3,,Elevated,1,preferred_term,10080683.0,10.0,Autism,3,Clostridia cluster I,,,,,qPCR,Faeces,Human,1.0,1,Healthy control,,
3,4,207.0,Elevated,2,preferred_term,10028245.0,10.0,Multiple Sclerosis,4,Eggerthella lenta,84112.0,,,0.45,16S rRNA sequencing,Faeces,Human,2.0,2,Healthy control,Log10,Log10
4,5,207.0,Elevated,2,preferred_term,10028245.0,10.0,Multiple Sclerosis,5,Streptococcus thermophiles,1308.0,,,0.44,16S rRNA sequencing,Faeces,Human,2.0,2,Healthy control,Log10,Log10
5,6,207.0,Reduced,2,preferred_term,10028245.0,10.0,Multiple Sclerosis,6,Faecalibacterium prausnitzii,853.0,,,-0.23,16S rRNA sequencing,Faeces,Human,2.0,2,Healthy control,Log10,Log10
6,7,207.0,Reduced,2,preferred_term,10028245.0,10.0,Multiple Sclerosis,7,Anaerostipes hadrus,649756.0,,,-0.36,16S rRNA sequencing,Faeces,Human,2.0,2,Healthy control,Log10,Log10
7,8,207.0,Reduced,2,preferred_term,10028245.0,10.0,Multiple Sclerosis,8,Eubacterium rectale,39491.0,,,-0.43,16S rRNA sequencing,Faeces,Human,2.0,2,Healthy control,Log10,Log10
8,9,207.0,Reduced,2,preferred_term,10028245.0,10.0,Multiple Sclerosis,9,Clostridium,1506.0,,,-0.46,16S rRNA sequencing,Faeces,Human,2.0,2,Healthy control,Log10,Log10
9,10,207.0,Reduced,2,preferred_term,10028245.0,10.0,Multiple Sclerosis,10,Bacteroides stercoris,46506.0,,,-0.66,16S rRNA sequencing,Faeces,Human,2.0,2,Healthy control,Log10,Log10
10,11,207.0,Reduced,2,preferred_term,10028245.0,10.0,Multiple Sclerosis,11,Bacteroides coprocola,310298.0,,,-0.82,16S rRNA sequencing,Faeces,Human,2.0,2,Healthy control,Log10,Log10
11,12,207.0,Reduced,2,preferred_term,10028245.0,10.0,Multiple Sclerosis,12,Lactobacillus rogosae,706562.0,,,-0.82,16S rRNA sequencing,Faeces,Human,2.0,2,Healthy control,Log10,Log10
12,13,207.0,Reduced,2,preferred_term,10028245.0,10.0,Multiple Sclerosis,13,Lachnospira pectinoschiza,28052.0,,,,16S rRNA sequencing,Faeces,Human,2.0,2,Healthy control,,
13,14,207.0,Reduced,2,preferred_term,10028245.0,10.0,Multiple Sclerosis,14,Roseburia,841.0,,,-0.83,16S rRNA sequencing,Faeces,Human,2.0,2,Healthy control,Log10,Log10
14,15,207.0,Reduced,2,preferred_term,10028245.0,10.0,Multiple Sclerosis,15,Sutterella wadsworthensis,40545.0,,,-0.86,16S rRNA sequencing,Faeces,Human,2.0,2,Healthy control,Log10,Log10
15,16,207.0,Reduced,2,preferred_term,10028245.0,10.0,Multiple Sclerosis,16,Bacteroides coprophilus,387090.0,,,-1.07,16S rRNA sequencing,Faeces,Human,2.0,2,Healthy control,Log10,Log10
16,17,207.0,Reduced,2,preferred_term,10028245.0,10.0,Multiple Sclerosis,17,Desulfotomaculum,41211.0,,,-1.11,16S rRNA sequencing,Faeces,Human,2.0,2,Healthy control,Log10,Log10
17,18,207.0,Reduced,2,preferred_term,10028245.0,10.0,Multiple Sclerosis,18,Prevotella copri,165179.0,,,-1.43,16S rRNA sequencing,Faeces,Human,2.0,2,Healthy control,Log10,Log10
18,19,207.0,Reduced,2,preferred_term,10028245.0,10.0,Multiple Sclerosis,19,Megamonas funiformis,437897.0,,,-1.77,16S rRNA sequencing,Faeces,Human,2.0,2,Healthy control,Log10,Log10
19,20,,Reduced,3,preferred_term,10011401.0,10.0,Crohn's Disease,6,Faecalibacterium prausnitzii,853.0,0.0,6.41,,Denaturating gradient gel electrophoresis (DGGE),Faeces,Human,3.0,3,Healthy control,Median intensity,Median intensity
20,21,,Elevated,3,preferred_term,10011401.0,10.0,Crohn's Disease,20,Ruminococcus gnavus,33038.0,0.0,0.0,,Denaturating gradient gel electrophoresis (DGGE),Faeces,Human,3.0,3,Healthy control,Median intensity,Median intensity
21,22,,Reduced,3,preferred_term,10011401.0,10.0,Crohn's Disease,21,Dialister invisus,218538.0,0.0,0.0,,Denaturating gradient gel electrophoresis (DGGE),Faeces,Human,3.0,3,Healthy control,Median intensity,Median intensity
22,23,,Reduced,3,preferred_term,10011401.0,10.0,Crohn's Disease,22,Bifidobacterium adolescentis,1680.0,0.0,3.89,,Denaturating gradient gel electrophoresis (DGGE),Faeces,Human,3.0,3,Healthy control,Median intensity,Median intensity
23,24,,Reduced,3,preferred_term,10011401.0,10.0,Crohn's Disease,6,Faecalibacterium prausnitzii,853.0,9.58,11.45,,qPCR,Faeces,Human,3.0,3,Healthy control,Log10/g,Log10/g
24,25,,Elevated,3,preferred_term,10011401.0,10.0,Crohn's Disease,20,Ruminococcus gnavus,33038.0,8.44,7.51,,qPCR,Faeces,Human,3.0,3,Healthy control,Log10/g,Log10/g
25,26,,Reduced,3,preferred_term,10011401.0,10.0,Crohn's Disease,22,Bifidobacterium adolescentis,1680.0,5.0,8.34,,qPCR,Faeces,Human,3.0,3,Healthy control,Log10/g,Log10/g
26,27,,Elevated,3,preferred_term,10011401.0,11.0,Crohn's Disease,23,Parvimonas micra,33033.0,1.36,0.87,,DNA-DNA hybridization,Subgingival plaque,Human,4.0,4,Periodontitis patients without IBD,x 105 bacteria,x 105 bacteria
27,28,,Elevated,3,preferred_term,10011401.0,11.0,Crohn's Disease,24,Prevotella melaninogenica,28132.0,1.26,0.29,,DNA-DNA hybridization,Subgingival plaque,Human,4.0,4,Periodontitis patients without IBD,x 105 bacteria,x 105 bacteria
28,29,,Elevated,3,preferred_term,10011401.0,11.0,Crohn's Disease,25,Peptostreptococcus anaerobius,1261.0,0.62,0.26,,DNA-DNA hybridization,Subgingival plaque,Human,4.0,4,Periodontitis patients without IBD,x 105 bacteria,x 105 bacteria
29,30,,Elevated,3,preferred_term,10011401.0,11.0,Crohn's Disease,26,Staphylococcus aureus,1280.0,1.76,0.36,,DNA-DNA hybridization,Subgingival plaque,Human,4.0,4,Periodontitis patients without IBD,x 105 bacteria,x 105 bacteria
30,31,,Elevated,3,preferred_term,10011401.0,11.0,Crohn's Disease,27,Streptococcus anginosus,1328.0,0.97,0.29,,DNA-DNA hybridization,Subgingival plaque,Human,4.0,4,Periodontitis patients without IBD,x 105 bacteria,x 105 bacteria
31,32,,Elevated,3,preferred_term,10011401.0,11.0,Crohn's Disease,28,Streptococcus mutans,1309.0,0.78,0.29,,DNA-DNA hybridization,Subgingival plaque,Human,4.0,4,Periodontitis patients without IBD,x 105 bacteria,x 105 bacteria
32,33,,Elevated,3,preferred_term,10011401.0,12.0,Crohn's Disease,29,Bacteroides ureolyticus,827.0,0.48,0.18,,DNA-DNA hybridization,Subgingival plaque,Human,4.0,4,Periodontitis patients without IBD,x 105 bacteria,x 105 bacteria
33,34,,Elevated,3,preferred_term,10011401.0,12.0,Crohn's Disease,30,Campylobacter gracilis,824.0,0.82,0.38,,DNA-DNA hybridization,Subgingival plaque,Human,4.0,4,Periodontitis patients without IBD,x 105 bacteria,x 105 bacteria
34,35,,Elevated,3,preferred_term,10011401.0,12.0,Crohn's Disease,24,Prevotella melaninogenica,28132.0,1.34,0.48,,DNA-DNA hybridization,Subgingival plaque,Human,4.0,4,Periodontitis patients without IBD,x 105 bacteria,x 105 bacteria
