1,DISEASE,MESH ID,BACTERIA,NCBI ID,RELATION,METHOD,PMID
2,Nephrolithiasis,D053040,Ruminococcus,1263,Increase,16S rRNA sequences,29353409
3,Nephrolithiasis,D053040,Dialister,39948,Increase,16S rRNA sequences,29353409
4,Nephrolithiasis,D053040,Phascolarctobacterium,33024,Decrease,16S rRNA sequences,29353409
5,Nephrolithiasis,D053040,Dorea,189330,Increase,16S rRNA sequences,29353409
6,Nephrolithiasis,D053040,Acinetobacter,469,Decrease,16S rRNA sequences,29353409
7,Nephrolithiasis,D053040,Anaerostipes,207244,Increase,16S rRNA sequences,29353409
8,Nephrolithiasis,D053040,Megamonas,158846,Decrease,16S rRNA sequences,29353409
9,Nephrolithiasis,D053040,Bilophila,35832,Increase,16S rRNA sequences,29353409
10,Nephrolithiasis,D053040,Subdoligranulum,292632,Increase,16S rRNA sequences,29353409
11,Nephrolithiasis,D053040,Ruminiclostridium,1508657,Increase,16S rRNA sequences,29353409
12,Nephrolithiasis,D053040,Parasutterella,577310,Increase,16S rRNA sequences,29353409
13,Nephrolithiasis,D053040,Alloprevotella,1283313,Decrease,16S rRNA sequences,29353409
14,Nephrolithiasis,D053040,Erysipelatoclostridium,1505663,Decrease,16S rRNA sequences,29353409
15,Nephrolithiasis,D053040,Fusicatenibacter,1407607,Increase,16S rRNA sequences,29353409
16,Nephrolithiasis,D053040,Holdemania,61170,Increase,16S rRNA sequences,29353409
17,Constipation,D003248,Bifidobacterium,1678,Increase,16S rRNA sequences,29340896
18,Constipation,D003248,Parabacteroides,375288,Increase,16S rRNA sequences,29340896
19,Constipation,D003248,Coprococcus,33042,Increase,16S rRNA sequences,29340896
20,Constipation,D003248,Streptococcus,1301,Increase,16S rRNA sequences,29340896
21,Constipation,D003248,Megasphaera,906,Decrease,16S rRNA sequences,29340896
22,Constipation,D003248,Anaerostipes,207244,Increase,16S rRNA sequences,29340896
23,Constipation,D003248,Klebsiella,570,Decrease,16S rRNA sequences,29340896
24,Constipation,D003248,Megamonas,158846,Decrease,16S rRNA sequences,29340896
25,Constipation,D003248,Acidaminococcus,904,Decrease,16S rRNA sequences,29340896
26,Constipation,D003248,Paenibacillus,44249,Increase,16S rRNA sequences,29340896
27,Constipation,D003248,Weissella,46255,Decrease,16S rRNA sequences,29340896
28,Constipation,D003248,Paraprevotella,577309,Decrease,16S rRNA sequences,29340896
29,Constipation,D003248,Erysipelatoclostridium,1505663,Increase,16S rRNA sequences,29340896
30,Constipation,D003248,Exiguobacterium,33986,Increase,16S rRNA sequences,29340896
31,Constipation,D003248,Holdemanella,1573535,Increase,16S rRNA sequences,29340896
32,Constipation,D003248,Cloacibacillus,508459,Increase,16S rRNA sequences,29340896
33,Constipation,D003248,Aerococcus,1375,Increase,16S rRNA sequences,29340896
34,Constipation,D003248,Terrisporobacter,1505652,Decrease,16S rRNA sequences,29340896
35,Constipation,D003248,Allisonella,209879,Decrease,16S rRNA sequences,29340896
36,Constipation,D003248,Gelria,189326,Decrease,16S rRNA sequences,29340896
37,Clostridium Infections,D003015,Bacteroides,816,Decrease,16S rRNA sequences,29329346
38,Clostridium Infections,D003015,Faecalibacterium,216851,Decrease,16S rRNA sequences,29329346
39,Clostridium Infections,D003015,Enterococcus,1350,Increase,16S rRNA sequences,29329346
40,Clostridium Infections,D003015,Alistipes,239759,Decrease,16S rRNA sequences,29329346
41,Clostridium Infections,D003015,Enterobacter,547,Increase,16S rRNA sequences,29329346
42,Frailty,D000073496,Prevotella,838,Decrease,16S rRNA sequences,29323208
43,Frailty,D000073496,Streptococcus,1301,Increase,16S rRNA sequences,29323208
44,Frailty,D000073496,Fusobacterium,848,Decrease,16S rRNA sequences,29323208
45,Frailty,D000073496,Actinomyces,1654,Increase,16S rRNA sequences,29323208
46,Frailty,D000073496,Haemophilus,724,Increase,16S rRNA sequences,29323208
47,Frailty,D000073496,Leptotrichia,32067,Decrease,16S rRNA sequences,29323208
48,Frailty,D000073496,Selenomonas,970,Increase,16S rRNA sequences,29323208
49,Frailty,D000073496,Campylobacter,194,Decrease,16S rRNA sequences,29323208
50,Frailty,D000073496,Capnocytophaga,1016,Decrease,16S rRNA sequences,29323208
51,Asthma,D001249,Bifidobacterium,1678,Decrease,16S rRNA sequences,29321519
52,Asthma,D001249,Faecalibacterium,216851,Decrease,16S rRNA sequences,29321519
53,Asthma,D001249,Ruminococcus,1263,Decrease,16S rRNA sequences,29321519
54,Asthma,D001249,Roseburia,841,Decrease,16S rRNA sequences,29321519
55,Asthma,D001249,Dialister,39948,Decrease,16S rRNA sequences,29321519
56,Obesity,D009765,Bifidobacterium,1678,Decrease,16S rRNA sequences,29280312
57,Obesity,D009765,Faecalibacterium,216851,Decrease,16S rRNA sequences,29280312
58,Obesity,D009765,Fusobacterium,848,Increase,16S rRNA sequences,29280312
59,Obesity,D009765,Bacillus,1386,Increase,16S rRNA sequences,29280312
60,Autism Spectrum Disorder,D000067877,Faecalibacterium,216851,Decrease,16S rRNA sequences,29274915
61,Autism Spectrum Disorder,D000067877,Prevotella,838,Decrease,16S rRNA sequences,29274915
62,Autism Spectrum Disorder,D000067877,Coprococcus,33042,Decrease,16S rRNA sequences,29274915
63,Autism Spectrum Disorder,D000067877,Haemophilus,724,Decrease,16S rRNA sequences,29274915
64,Obesity,D009765,Bacteroides,816,Decrease,16S rRNA sequences,29214176
65,Obesity,D009765,Blautia,572511,Increase,16S rRNA sequences,29214176
66,Obesity,D009765,Parabacteroides,375288,Decrease,16S rRNA sequences,29214176
67,Obesity,D009765,Enterococcus,1350,Increase,16S rRNA sequences,29214176
68,Obesity,D009765,Sutterella,40544,Increase,16S rRNA sequences,29214176
69,Obesity,D009765,Klebsiella,570,Increase,16S rRNA sequences,29214176
70,Obesity,D009765,Collinsella,102106,Increase,16S rRNA sequences,29214176
71,Obesity,D009765,Coprobacillus,100883,Decrease,16S rRNA sequences,29214176
72,Obesity,D009765,Anaerotruncus,244127,Decrease,16S rRNA sequences,29214176
73,Sjogren's Syndrome,D012859,Bifidobacterium,1678,Decrease,16S rRNA sequences,29065905
74,Sjogren's Syndrome,D012859,Alistipes,239759,Decrease,16S rRNA sequences,29065905
75,Graft vs Host Disease,D006086,Ruminococcus,1263,Decrease,16S rRNA sequences,29020185
76,Graft vs Host Disease,D006086,Blautia,572511,Decrease,16S rRNA sequences,29020185
77,Graft vs Host Disease,D006086,Dorea,189330,Decrease,16S rRNA sequences,29020185
78,Graft vs Host Disease,D006086,Candidatus Soleaferrea,1470353,Decrease,16S rRNA sequences,29020185
79,Graft vs Host Disease,D006086,Butyricicoccus,580596,Decrease,16S rRNA sequences,29020185
80,Graft vs Host Disease,D006086,Eisenbergiella,1432051,Increase,16S rRNA sequences,29020185
81,Food Hypersensitivity,D005512,Lachnospira,28050,Increase,16S rRNA sequences,29017394
82,Food Hypersensitivity,D005512,Prorocentrum mariae-labouriae,2946,Increase,16S rRNA sequences,29017394
83,Food Hypersensitivity,D005512,Akkermansia,239934,Decrease,16S rRNA sequences,29017394
84,Food Hypersensitivity,D005512,Dorea,189330,Decrease,16S rRNA sequences,29017394
85,Food Hypersensitivity,D005512,Sutterella,40544,Increase,16S rRNA sequences,29017394
86,Epilepsy,D004827,Bifidobacterium,1678,Decrease,16S rRNA sequences,28970732
87,Epilepsy,D004827,Bacteroides,816,Decrease,16S rRNA sequences,28970732
